,App,0,1,2,3,4,5,6,7,8,9,10,综合得分
16,NetEase Cloud Music,-0.06905352602975699,0.36341227439555857,-0.560008859159446,1.9485871360223173,-0.2515322108003546,0.2166022499257416,0.19352386336254196,-0.35713986944660153,-0.4069047741839825,-0.21476397779173031,0.3657085362063996,0.18272272005006568
17,NetEase Cloud Music,-0.4914073677825654,0.6490178636139793,0.10642985569552844,1.0306062923570538,-0.6371938963913388,-0.16518305365651123,0.08249330797652754,-0.2314764704274421,-1.097252830872198,-0.14089573814047768,0.558716283999057,0.019748683925222072
18,NetEase Cloud Music,-0.7969355962620671,0.848417432296423,0.01740429282872313,0.1051115723677838,-0.0856494068294356,0.23869640305951997,1.2893282537311201,-0.4747920361608021,-0.40441143532441565,-0.5591031075774248,0.5032849878843395,0.07325385180929209
19,NetEase Cloud Music,-0.4353105890641735,0.4655064717958872,-0.041607599307721795,1.1090512765499152,-0.265866567015797,-0.21159424835669416,0.5189437784640157,-0.3485724480016577,-0.8847262093533712,-0.07732152378615012,0.5802715082079062,0.06929859718346379
20,NetEase Cloud Music,-0.2317340159927578,0.3978389221002137,-0.3563152654955876,1.133395842201008,-0.25622187178644573,0.2303214776248914,-0.018859612064133748,-0.2847584473131006,-0.3673629456002601,-0.4327513459559633,0.6728909104751202,0.10032786664090687
21,NetEase Cloud Music,-0.14787182311626457,0.5215028174653568,-0.0117851029866658,1.3540512785812224,-0.4629844583578423,-0.1683856070985189,0.16549992711541317,-0.06084966626446027,-0.6643205487486693,-0.38234204185452847,0.5504061727529361,0.12271828902381501
22,NetEase Cloud Music,-0.08961810798663,0.8173573846350661,0.05434472075993074,0.7467548016734308,0.23475425664149496,-0.15309866673991268,-0.30002738936482937,-0.414660585590536,-0.06708653016286517,0.021719725132509735,0.47603263933498297,0.18665549222806668
23,NetEase Cloud Music,0.03752627489227912,0.638336417525347,-0.5350426295978605,1.0859512789219208,-0.06110556359808162,-0.1688795652479328,-0.11605313476397186,-0.5688051573721091,-0.25978198189170637,-0.0626414846829912,0.5381111322658999,0.13465273604693526
24,NetEase Cloud Music,-0.313447795345599,0.8344935630562816,0.3548213217573552,0.1896502955201803,-0.9978075797023761,-0.7760982668644784,0.8056670410414856,0.39034303133415893,-0.8105881145592597,-0.2500544781963504,0.37391381818335834,0.009071292762750724
25,NetEase Cloud Music,-0.09309948939550976,0.7089329440349381,-0.3918957349489666,2.081144341569219,-0.643735248655035,-0.3223076609830684,0.0943345965703915,-0.3340020462887089,-0.4057921085752723,-0.0015213134383675298,0.07226684819275066,0.16089128590210935
26,NetEase Cloud Music,-0.030178267332943785,0.8753919626502846,-0.15695421044337396,0.1320424132464332,-0.43360592654952274,-0.5992167772996937,0.004797824236335024,0.40766966164572055,-0.1668482840499968,-0.16850670337498377,0.22502440732687853,0.06259753889962735
27,NetEase Cloud Music,0.25590541660715854,0.8803759493294523,-0.563732484612209,0.26507270401833105,-0.768945462087859,-0.12215714671022532,-0.8042214381170029,-0.19262109170296118,-0.6466464296181997,-0.2449630579142027,0.27506708096455235,-0.026610630272141753
28,NetEase Cloud Music,-0.11113716193315175,0.8766828459906972,-0.5437453206584267,0.7678995645340356,-0.7849806730223051,-0.1045689044053122,-0.6797175953383029,0.11740441760137307,-0.12095271244799399,-0.24393016216108973,0.1823254883055315,0.03454595025042393
29,NetEase Cloud Music,-0.2079232362362014,1.0192433683481992,-0.41257311651461326,0.20724437539192136,-0.8844227694147353,-0.2708283840571938,-0.45504128708106073,-0.13387614840943157,-0.5236664484276696,-0.39569906274916733,0.5578717309293733,-0.03835086747145532
30,NetEase Cloud Music,-0.2058274974409579,0.796362395456447,0.041224471828578996,1.668742763589729,-0.9693530579381737,0.2334905185690701,-0.23001400566902314,-0.3300910744074909,0.36262800657745337,-0.09036966980499193,0.13657114502900292,0.20651417841245193
31,NetEase Cloud Music,-0.5173699023107089,1.0056171263805294,0.2257968538777824,1.0654548395756496,-0.939982170348755,0.01926331368058406,-0.1676997425857015,0.5433589744169663,-0.689250176396079,-0.21693349268941453,0.5266889451316268,0.12841207816648648
32,NetEase Cloud Music,-0.20312998883015193,0.8469174669204854,0.04975036440537048,1.0967268169577156,-0.5100878381056881,-0.42833736426687397,0.003258053811085513,0.20579050647303043,-0.5324184227492385,0.04230464230419452,0.4254440902677655,0.14710409798961668
33,NetEase Cloud Music,-0.26513759276030885,1.3260678915501152,-0.1377131086039126,0.043572512850053924,-0.07875070055276047,-0.1435236118244578,0.6459235086403119,-0.18926840804067693,-0.7123873816015794,0.26074766828364554,0.43465390171650437,0.16807854958359375
34,NetEase Cloud Music,-0.11312609996299168,1.5482271914813712,-0.028701813633568635,-0.5108344216616648,-0.37612624229936975,0.02034957536626194,-0.16790410190157343,-0.24751441652252223,-0.45645727899594374,0.10701748877403892,0.39787486428531577,0.1109029006484765
35,NetEase Cloud Music,-0.1835720748511137,1.0596156869226572,-0.2072973482654427,1.2184871746265529,-0.7014360048819939,-0.2823507321252222,-0.04746313269444294,0.1267289122450389,-0.7124974556955638,0.009883408370935251,0.4708237966759926,0.15304820511922831
36,NetEase Cloud Music,-0.2117886776469799,1.4132301540111771,-0.320229473861314,1.1492210939991272,-0.7817318681444074,-0.45322458439655017,-0.10655660454118025,0.6569680054767936,-0.6284880997853932,-0.0515742441942755,0.41223890794273793,0.1913201654914537
37,NetEase Cloud Music,-0.2902003359601885,1.4976051907753318,-0.7199845104608454,0.6146868912764798,-0.8728244578258961,-0.40928816149769365,-0.2841672019388852,0.23552163322786604,-0.7189440022612249,0.10985011688103406,0.4730881457815317,0.07582394086381718
