,App,0,1,2,3,4,5,6,7,综合得分
32,alipay,0.04451435329509727,0.7149299733019111,0.692954019782509,0.388362519540673,-0.07305418698685295,-0.14172362026347496,0.46631632426451,-0.5720725738542073,0.22090094800835033
33,alipay,0.6180983375400321,1.5048141277671518,-0.08502152777030479,-0.3423683148729746,-0.37844801810909806,-0.010538011678276433,-0.0740870423649803,-0.6516308331019253,0.1547079174264213
34,alipay,0.44867115786413375,0.8760368540326731,0.16645206810401333,0.6677919922252482,-0.7137376259294363,-0.11542209515216201,-0.4846796104539721,-0.6748466012014064,0.14562636252535976
35,alipay,0.7690847708133053,1.7049491727109791,-1.4661836290983454,-0.42867045753572897,-0.35679368207489337,-1.247463899072045,-0.2342080215425378,-0.7660866490901445,-0.09836639166616648
36,alipay,0.3132235782869359,1.0012181068590942,-0.050324847761722885,0.10861779123809663,-0.13931161298615963,0.5466024254326722,-0.7906224646904135,-0.27588123807367393,0.1291875383822912
37,alipay,0.10901587239931054,1.0865568901670564,-0.827266017743106,0.30669082940427256,0.043902349350223024,0.8820964179657582,-0.5315944835246565,-0.37455887847663594,0.09105469377552389
38,alipay,0.4082107485618043,1.2616661560641815,0.1164690598253046,0.26271940737752975,-0.3755200106914564,0.023018067914407733,-0.1708083208507256,-0.5460710470159545,0.19852684411958318
39,alipay,0.034674704406588715,1.3134393202199488,0.8335804465218852,0.8990265330978138,-0.10283258642676268,-0.3560109475526889,-0.20377445401928052,-0.24375843588883517,0.3202144640742977
40,alipay,0.09486156378923143,1.2598192784304296,-0.8355965658729405,0.09507142098930257,-0.0028991420659926228,0.584638341975281,0.9181550575925191,-0.1620244143950869,0.2055066173724636
41,alipay,-0.6195495619220712,2.6127366750173513,-1.105656308039299,0.1419777838485018,-0.02501144188044008,0.2949657769301413,0.05547599481245367,-0.5220786319504903,0.019699480853870268
42,alipay,-0.8729029775322646,2.564975345085788,-0.6557575904160086,0.11994918492757436,0.14399877115043117,-0.020766025794547564,0.22293644663024986,-0.0809907773798644,0.04801953574928116
43,alipay,-0.08413578453550401,1.9625348770029358,-1.0502195012664324,0.7044935426280999,0.14290683845337077,-0.4091978400878933,-0.0957740269661884,-0.3450483984742702,0.12587353341861152
44,alipay,-0.04503001003978192,1.866029229603738,-0.9778987210457779,0.2877851337630204,-0.20893817781492463,0.5706903983295716,-0.17836862871923465,-0.33053987077336244,0.10674380547473532
45,alipay,0.1963836032266569,1.9764310651275354,-1.093385169048096,0.8206251442266937,0.06087186289307492,0.5400636162648674,-0.5535623964793723,-0.4209650741439005,0.227046257444051
46,alipay,0.32506002379663185,1.8404345456879596,-1.1410288529086594,0.551920627146198,-0.09738928595226061,0.6073036692951963,-0.31015829928184185,-0.18498782801100147,0.22633696648876186
47,alipay,0.15431852746700345,2.1489518964216776,-0.5092608979875559,0.3789535780212344,-0.12341981091237127,-0.24519687028159398,-0.15708768948782229,0.2623496843122244,0.24657919299051825
48,alipay,0.3353308547791192,2.443977810005931,-1.1692035359353825,0.29259429076559074,-0.10553714363250265,-0.6049500517382467,-0.24389812332346644,0.014532138397178684,0.17143791954203674
49,alipay,0.4412072095987149,1.0917622886329814,-0.9608899715832883,1.4018113904556935,-0.13564763199393073,0.24343921797985196,-0.33664568970885034,0.44402085173459527,0.33649857336679645
50,alipay,0.07056327595517793,1.1186794925065542,-0.7689712538091699,0.5742111161758046,0.10165884685449426,0.37579829793312,-0.2554735181678487,0.6685037350045686,0.20654989345232833
